ISO,adm0,cent_lon,cent_lat
KNA,SAINT KITTS AND NEVIS,-62.70134105,17.27185844
LCA,SAINT LUCIA,-60.96675752,13.89836611
SPM,SAINT PIERRE AND MIQUELON,-56.30584539,46.92984866
VCT,SAINT VINCENT AND THE GRENADINES,-61.20068806,13.20047408
WSM,SAMOA,-172.1720268,-13.74471705
SMR,SAN MARINO,12.46099941,43.93905241
STP,SAO TOME AND PRINCIPE,6.716493516,0.436447378
SAU,SAUDI ARABIA,44.5263806,24.09426111
SEN,SENEGAL,-14.47036349,14.35910858
SRB,SERBIA,20.78200932,44.22609504
SYC,SEYCHELLES,51.7556818,-6.769390333
SLE,SIERRA LEONE,-11.7902511,8.556475741
SGP,SINGAPORE,103.8150594,1.353458027
SXM,SINT MAARTEN,-63.06232559,18.03823106
SVK,SLOVAKIA,19.4835097,48.70945534
SVN,SLOVENIA,14.81810081,46.12445938
SLB,SOLOMON ISLANDS,159.5712586,-8.88805986
SOM,SOMALIA,45.86916995,6.06827856
ZAF,SOUTH AFRICA,25.08690352,-28.99629253
SGS,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,-35.91018964,-54.67749368
KOR,"KOREA, REPUBLIC OF",127.7952124,36.35516888
SSD,SOUTH SUDAN,30.32144008,7.287667665
ESP,SPAIN,-3.647067268,40.22689584
LKA,SRI LANKA,80.69786829,7.621671701
SDN,SUDAN,30.00564634,16.04938553
SUR,SURINAME,-55.91596183,4.136236747
SJM,SVALBARD AND JAN MAYEN,18.46817646,78.8562049
SWZ,SWAZILAND,31.49820048,-26.56544451
SWE,SWEDEN,16.75818701,62.77138854
CHE,SWITZERLAND,8.230251524,46.80106705
SYR,SYRIAN ARAB REPUBLIC,38.52677268,35.02460157
TWN,"TAIWAN, PROVINCE OF CHINA",120.9565861,23.75263319
TJK,TAJIKISTAN,71.03752977,38.52893925
TZA,"TANZANIA, UNITED REPUBLIC OF",34.825686,-6.266216846
THA,THAILAND,101.0148022,15.1103753
TGO,TOGO,0.976875236,8.530167367
TKL,TOKELAU,-171.7824685,-9.068800796
TON,TONGA,-174.821605,-19.85670931
TTO,TRINIDAD AND TOBAGO,-61.25929016,10.47397943
TUN,TUNISIA,9.57888691,34.11107018
TUR,TURKEY,35.17621424,39.05990552
TKM,TURKMENISTAN,59.17901606,39.19261775
TCA,TURKS AND CAICOS ISLANDS,-71.82428203,21.75802219
TUV,TUVALU,178.0939524,-7.582029555
UGA,UGANDA,32.39111387,1.280350984
UKR,UKRAINE,31.40757354,49.00868008
ARE,UNITED ARAB EMIRATES,54.20147737,23.84671982
GBR,UNITED KINGDOM,-2.895876179,54.16480566
USA,UNITED STATES,-112.470837,45.67625945
UMI,UNITED STATES MINOR OUTLYING ISLANDS,-98.42987676,15.92313903
URY,URUGUAY,-56.01779217,-32.79322589
UZB,UZBEKISTAN,63.17138303,41.75063679
VUT,VANUATU,167.7211961,-16.21128174
VAT,HOLY SEE (VATICAN CITY STATE),12.45286091,41.90354024
VEN,VENEZUELA,-66.14593576,7.132690551
VNM,VIET NAM,106.3026606,16.65664175
VIR,"VIRGIN ISLANDS, U.S.",-64.80277293,17.97169907
WLF,WALLIS AND FUTUNA,-177.1054789,-13.76671045
ESH,WESTERN SAHARA,-13.13473229,24.67902248
YEM,YEMEN,47.58275861,15.90483728
ZMB,ZAMBIA,27.79432404,-13.45743066
ZWE,ZIMBABWE,29.86883798,-19.00056343
